type,name,state,lat,lon,to_spgr,elev,dt_reached,comment
TOWN,"Lyme, NH 03768",NH,43.82,-72.15,1750.3,,,
FEATURE,Smarts Mtn,NH,43.825735,-72.038638,1756.1,3240,,
CABIN,Smarts Mountain Cabin,NH,43.8252602,-72.0373284,1756.1,3220,,
SHELTER,Hexacuba Shelter,NH,43.8739725,-72.0290049,1761.4,1980,,
FEATURE,Mt Cube,NH,43.885455,-72.023951,1763.3,2911,,
TOWN,"Wentworth, NH 03282",NH,43.87,-71.92,1766.3,,,
SHELTER,Ore Hill Shelter,NH,43.9635708,-71.9404758,1768.7,1580,,
TOWN,"Warren, HH 03279",NH,43.92,-71.9,1771.1,,,
TOWN,"Glencliff, NH 03238",NH,43.98,-71.9,1776.1,,,
SHELTER,Jeffers Brook Shelter,NH,43.9965228,-71.888904,1777.2,1305,,
FEATURE,Mt Moosilauke,NH,44.0244,-71.8314,1781.8,4830,,
SHELTER,Beaver Brook Shelter,NH,44.0329294,-71.811269,1784,3800,,
SHELTER,Eliza Brook Campsite Shelter,NH,44.1007461,-71.7418222,1793.1,2400,,
FEATURE,South Kinsman Mtn,NH,44.122965,-71.736553,1795.6,4358,,
FEATURE,North Kinsman Mtn,NH,44.13337,-71.736915,1796.5,4293,,
SHELTER,Kinsman Pond Campsite Shelter,NH,44.1368156,-71.732298,1797.1,3750,,
HUT,Lonesome Lake Hut,NH,44.138424,-71.7031204,1799,2760,,
TOWN,"North Woodstock, NH 03262",NH,44.03,-71.68,1801.9,,,
FEATURE,Little Haystack,NH,44.1406,-71.645,1806.6,4840,,
FEATURE,Mt Lincoln,NH,44.1488,-71.6445,1807.3,5089,,
HUT,Greenleaf Hut,NH,44.1602416,-71.6602422,1808.3,4200,,
FEATURE,Mt Lafayette,NH,44.1608,-71.6444,1808.3,5249,,
FEATURE,Mt Garfield,NH,44.187219,-71.610836,1811.8,4488,,
SHELTER,Garfield Ridge Campsite Shelter,NH,44.1905969,-71.6082785,1812.2,3560,,
HUT,Galehead Hut,NH,44.1877771,-71.5688513,1814.9,3800,,
FEATURE,South Twin Mtn,NH,44.188,-71.555,1815.7,4902,,
SHELTER,Guyot Campsite Shelter,NH,44.1609388,-71.5350304,1817.7,4160,,
HUT,Zealand Falls Hut,NH,44.1956787,-71.4942788,1821.9,2450,,
SHELTER,Ethan Pond Campsite Shelter,NH,44.1771552,-71.4265946,1826.7,2850,,
FEATURE,Mt Webster,NH,44.194751,-71.388224,1832.9,3910,,
HUT,Mizpah Spring Hut,NH,44.2193032,-71.3695671,1836,3800,,
HUT,Lake of the Clouds Hut,NH,44.2589059,-71.3187937,1840.8,5050,,
FEATURE,Mt Washington,NH,44.270527,-71.303423,1842.2,6288,,
TOWN,"Mt. Washington, NH 03589",NH,44.27,-71.3,1842.2,,,
SHELTER,The Perch Shelter,NH,44.3244639,-71.3104851,1846.3,4000,,
HUT,Madison Springs Hut,NH,44.3277294,-71.2829311,1847.8,4800,,
FEATURE,Mt Madison,NH,44.3283,-71.2783,1848.3,5363,,
FEATURE,Wildcat Mtn Peak A,NH,44.2592,-71.202,1860.6,4380,,
HUT,Carter Notch Hut,NH,44.2592664,-71.1953306,1861.5,3288,,
FEATURE,Carter Dome,NH,44.2673,-71.179,1862.7,4832,,
FEATURE,South Carter Mtn,NH,44.289823,-71.176483,1864.9,4458,,
FEATURE,Middle Carter Mtn,NH,44.303054,-71.167757,1866.2,4600,,
FEATURE,North Carter Mtn,NH,44.31306,-71.165,1866.8,4539,,
SHELTER,Imp Campsite Shelter,NH,44.3288655,-71.1500395,1868.7,3300,,
FEATURE,Mt Moriah,NH,44.340522,-71.131776,1870.8,4049,,
SHELTER,Rattle River Shelter,NH,44.3799002,-71.107435,1874.8,1260,,
TOWN,"Gorham, NH 03581",NH,44.38,-71.17,1876.7,,,
SHELTER,Gentian Pond Campsite Shelter,NH,44.4517145,-71.069334,1888.5,2165,,
SHELTER,Carlo Col Shelter,ME,44.4885558,-71.0161254,1893.7,2945,,
FEATURE,Goose Eye Mtn,ME,44.50282,-70.999506,1895.9,3794,,
SHELTER,Full Goose Shelter,ME,44.5250632,-70.9807987,1898.1,3030,,
FEATURE,Mahoosic Notch,ME,44.5384,-70.9894,1899.6,2400,,
FEATURE,Mahoosic Arm,ME,44.5601,-70.9763,1902.3,3770,,
SHELTER,Speck Pond Shelter,ME,44.56458,-70.9735313,1903.2,3500,,
SHELTER,Baldpate Lean-to,ME,44.598335,-70.9117305,1910.1,2645,,
FEATURE,Baldpate Mtn,ME,44.609287,-70.892316,1910.9,3812,,
SHELTER,Frye Notch Lean-to,ME,44.6276852,-70.9002766,1913.6,2280,,
TOWN,"Andover, ME 04216",ME,44.63,-70.75,1918.1,,,
FEATURE,Wyman Mtn,ME,44.680597,-70.83522,1922.8,2945,,
SHELTER,Hall Mountain Lean-to,ME,44.7007999,-70.8245467,1924.1,2635,,
FEATURE,Old Blue Mtn,ME,44.747119,-70.765595,1931,3600,,
FEATURE,Bemis Mtn,ME,44.7965,-70.7667,1935.2,3580,,
SHELTER,Bemis Mountain Lean-to,ME,44.8102572,-70.7558946,1936.9,2790,,
TOWN,"Oquossoc, ME 04964",ME,44.97,-70.77,1941.5,,,
SHELTER,Sabbath Day Pond Lean-to,ME,44.8409974,-70.6622897,1945.2,2390,,
TOWN,"Rangely, ME 04970",ME,44.97,-70.65,1954.6,,,
SHELTER,Piazza Rock Lean-to,ME,44.9040736,-70.530834,1956.4,2080,,
FEATURE,Saddleback Mtn,ME,44.936559,-70.504671,1960.3,4116,,
SHELTER,Poplar Ridge Lean-to,ME,44.9699884,-70.4457569,1965.3,2920,,
SHELTER,Spaulding Mountain Lean-to,ME,44.9957089,-70.3412371,1973.3,3140,,
FEATURE,Spaulding Mtn,ME,45.003004,-70.333539,1974.1,3988,,
FEATURE,Sugarloaf Mtn,ME,45.031808,-70.313247,1976.2,4237,,
FEATURE,Crocker Mtn North,ME,45.047233,-70.382836,1980.6,4168,,
TOWN,"Stratton, ME 04982",ME,45.13,-70.43,1986.8,,,
SHELTER,Horns Pond Lean-tos,ME,45.1441906,-70.3300384,1991.9,3160,,
FEATURE,Mt Bigelow W. Peak,ME,45.146771,-70.288172,1994.5,4150,,
SHELTER,Little Bigelow Lean-to,ME,45.1390726,-70.1910519,2002.4,1760,,
SHELTER,West Carry Pond Lean-to,ME,45.1580262,-70.0997616,2009.4,1340,,
SHELTER,Pierce Pond Lean-to,ME,45.2402893,-70.0554481,2019.4,1150,,
TOWN,"Caratunk, ME 04925",ME,45.23,-69.98,2023.4,,,
SHELTER,Pleasant Pond Lean-to,ME,45.2705515,-69.9161821,2029.1,1320,,
SHELTER,Bald Mountain Brook Lean-to,ME,45.25854,-69.79993,2038.1,1280,,
SHELTER,Moxie Bald Lean-to,ME,45.270545,-69.7451641,2042.2,1220,,
SHELTER,Horseshoe Canyon Lean-to,ME,45.2827428,-69.6275041,2051.1,880,,
TOWN,"Monson, ME 04464",ME,45.28,-69.5,2060.1,,,
SHELTER,Leeman Brook Lean-to,ME,45.3515279,-69.4986392,2063.1,1070,,
SHELTER,Wilson Valley Lean-to,ME,45.3979119,-69.4594822,2070.5,1000,,
SHELTER,Long Pond Stream Lean-to,ME,45.4218846,-69.4095334,2075.2,930,,
FEATURE,Barren Mtn,ME,45.415646,-69.370468,2078.3,3696,,
SHELTER,Cloud Pond Lean-to,ME,45.4188708,-69.3515998,2079.2,2420,,
SHELTER,Chairback Gap Lean-to,ME,45.4528768,-69.2620895,2086.1,2000,,
FEATURE,Chairback Mtn,ME,45.456459,-69.256117,2086.6,2180,,
SHELTER,Carl A. Newhall Lean-to,ME,45.5304459,-69.3149014,2096,1840,,
FEATURE,White Cap Mtn,ME,45.554633,-69.246405,2101.8,3644,,
SHELTER,Logan Brook Lean-to,ME,45.5610952,-69.2347481,2103.2,2530,,
SHELTER,East Branch Lean-to,ME,45.5967135,-69.1981668,2106.8,1240,,
SHELTER,Cooper Brook Falls Lean-to,ME,45.6404803,-69.0873432,2114.9,910,,
SHELTER,Potaywadjo Spring Lean-to,ME,45.7065263,-69.0072718,2126.3,620,,
SHELTER,Wadleigh Stream Lean-to,ME,45.7472798,-69.1445512,2151.6,685,,
SHELTER,Rainbow Stream Lean-to,ME,45.7990376,-69.1704068,2159.7,1002,,
SHELTER,Hurd Brook Lean-to,ME,45.8184781,-69.0184048,2171.2,701,,
SHELTER,The Birches Shelters,ME,45.8815981,-68.995052,2184.6,1089,,
FEATURE,Mt Katahdin,ME,45.904362,-68.921392,2189.8,5268,,
